Date,Month,Week,Year,Station.Location,Station.State,Avg.temp,Max.temp,Min.temp,Wind.direction,Wind.speed
1/3/2016,1,3,2016,"Birmingham, AL",Alabama,39,46,32,33,4.33
1/3/2016,1,3,2016,"Anchorage, AK",Alaska,34,38,29,19,7.8
1/3/2016,1,3,2016,"Douglas Bisbee, AZ",Arizona,41,57,24,6,4.2
1/3/2016,1,3,2016,"Fort Smith, AR",Arkansas,39,51,27,27,5.16
1/3/2016,1,3,2016,"Bakersfield, CA",California,47,60,33,34,2.2
1/3/2016,1,3,2016,"Alamosa, CO",Colorado,14,33,-5,32,1.4
1/3/2016,1,3,2016,"Bridgeport, CT",Connecticut,38,43,32,27,8.86
1/3/2016,1,3,2016,"Wilmington, DE",Delaware,37,46,27,28,6.43
1/3/2016,1,3,2016,"Daytona Beach, FL",Florida,63,68,58,32,6.23
1/3/2016,1,3,2016,"Alma, GA",Georgia,51,58,47,32,5.06
1/3/2016,1,3,2016,"Hilo, HI",Hawaii,73,81,65,20,3.33
1/3/2016,1,3,2016,"Boise, ID",Idaho,15,23,7,16,3
1/3/2016,1,3,2016,"Chicago, IL",Illinois,25,30,20,28,12.16
1/3/2016,1,3,2016,"Evansville, IN",Indiana,35,43,27,27,6.06
1/3/2016,1,3,2016,"Cedar Rapids, IA",Iowa,22,28,15,28,11.46
1/3/2016,1,3,2016,"Concordia, KS",Kansas,31,43,18,29,8.96
1/3/2016,1,3,2016,"Covington, KY",Kentucky,33,39,27,26,7.73
1/3/2016,1,3,2016,"Baton Rouge, LA",Louisiana,47,53,40,23,3.43
1/3/2016,1,3,2016,"Bangor, ME",Maine,29,35,22,24,4.6
1/3/2016,1,3,2016,"Baltimore, MD",Maryland,37,48,26,27,5.36
1/3/2016,1,3,2016,"Boston, MA",Massachusetts,37,41,31,25,11.83
1/3/2016,1,3,2016,"Alpena, MI",Michigan,27,32,21,26,8.96
1/3/2016,1,3,2016,"Duluth, MN",Minnesota,22,27,17,30,11.56
1/3/2016,1,3,2016,"Greenville, MS",Mississippi,42,48,35,30,4.56
1/3/2016,1,3,2016,"Cape Girardeau, MO",Missouri,37,46,27,29,5.96
1/3/2016,1,3,2016,"Billings, MT",Montana,23,29,16,22,18.86
1/3/2016,1,3,2016,"Grand Island, NE",Nebraska,26,37,15,30,9.03
1/3/2016,1,3,2016,"Ely, NV",Nevada,7,22,-8,26,3.46
1/3/2016,1,3,2016,"Concord, NH",New Hampshire,34,39,29,24,6.16
1/3/2016,1,3,2016,"Atlantic City, NJ",New Jersey,36,46,26,28,6.26
1/3/2016,1,3,2016,"Albuquerque, NM",New Mexico,31,38,23,27,4.63
1/3/2016,1,3,2016,"Albany, NY",New York,33,38,28,25,6.23
1/3/2016,1,3,2016,"Asheville, NC",North Carolina,39,46,30,34,10.16
1/3/2016,1,3,2016,"Bismarck, ND",North Dakota,21,30,12,25,7.9
1/3/2016,1,3,2016,"Akron, OH",Ohio,29,32,25,26,11.4
1/3/2016,1,3,2016,"Gage, OK",Oklahoma,33,47,18,28,5.46
1/3/2016,1,3,2016,"Astoria, OR",Oregon,36,42,30,9,9.46
1/3/2016,1,3,2016,"Allentown, PA",Pennsylvania,34,41,25,27,8.3
1/3/2016,1,3,2016,"Providence, RI",Rhode Island,36,43,28,26,7.36
1/3/2016,1,3,2016,"Anderson, SC",South Carolina,45,54,35,30,1.13
1/3/2016,1,3,2016,"Aberdeen, SD",South Dakota,18,29,7,26,6.16
1/3/2016,1,3,2016,"Bristol/Jhnsn Cty/Kngsprt, TN",Tennessee,34,44,24,23,3.93
1/3/2016,1,3,2016,"Abilene, TX",Texas,41,47,34,20,5.76
1/3/2016,1,3,2016,"Salt Lake City, UT",Utah,15,24,7,32,1.6
1/3/2016,1,3,2016,"Burlington, VT",Vermont,31,35,26,23,6.5
1/3/2016,1,3,2016,"Lynchburg, VA",Virginia,39,49,29,25,3.6
1/3/2016,1,3,2016,"Deer Park, WA",Washington,10,22,-2,24,6.2
1/3/2016,1,3,2016,"Beckley, WV",West Virginia,33,40,26,27,7.6
1/3/2016,1,3,2016,"Green Bay, WI",Wisconsin,23,28,17,27,9.4
1/3/2016,1,3,2016,"Casper, WY",Wyoming,21,28,13,22,16.13
2/7/2016,2,7,2016,"Birmingham, AL",Alabama,51,61,40,23,6.35
2/7/2016,2,7,2016,"Anchorage, AK",Alaska,26,31,20,5,3.97
2/7/2016,2,7,2016,"Douglas Bisbee, AZ",Arizona,39,58,19,20,6.04
2/7/2016,2,7,2016,"Fort Smith, AR",Arkansas,44,58,30,18,6.91
2/7/2016,2,7,2016,"Bakersfield, CA",California,48,59,36,9,2.52
2/7/2016,2,7,2016,"Alamosa, CO",Colorado,12,30,-6,22,4.38
2/7/2016,2,7,2016,"Bridgeport, CT",Connecticut,39,49,28,24,5.07
2/7/2016,2,7,2016,"Wilmington, DE",Delaware,40,49,30,19,5.24
2/7/2016,2,7,2016,"Daytona Beach, FL",Florida,62,71,53,22,6.54
2/7/2016,2,7,2016,"Alma, GA",Georgia,56,67,44,21,5.78
2/7/2016,2,7,2016,"Hilo, HI",Hawaii,74,82,65,21,4.88
2/7/2016,2,7,2016,"Boise, ID",Idaho,34,42,25,18,4.71
2/7/2016,2,7,2016,"Chicago, IL",Illinois,33,38,27,23,8.4
2/7/2016,2,7,2016,"Evansville, IN",Indiana,44,56,32,19,6.47
2/7/2016,2,7,2016,"Cedar Rapids, IA",Iowa,28,34,22,19,8.91
2/7/2016,2,7,2016,"Concordia, KS",Kansas,32,40,24,25,9.78
2/7/2016,2,7,2016,"Covington, KY",Kentucky,38,51,28,23,7.98
2/7/2016,2,7,2016,"Baton Rouge, LA",Louisiana,53,65,40,18,5.37
2/7/2016,2,7,2016,"Bangor, ME",Maine,31,43,19,27,5.88
2/7/2016,2,7,2016,"Baltimore, MD",Maryland,40,49,31,18,4.35
2/7/2016,2,7,2016,"Boston, MA",Massachusetts,41,50,33,23,8.12
2/7/2016,2,7,2016,"Alpena, MI",Michigan,26,33,19,22,5.07
2/7/2016,2,7,2016,"Duluth, MN",Minnesota,20,27,8,24,8.57
2/7/2016,2,7,2016,"Greenville, MS",Mississippi,49,60,39,20,5.4
2/7/2016,2,7,2016,"Cape Girardeau, MO",Missouri,43,55,31,20,7.22
2/7/2016,2,7,2016,"Billings, MT",Montana,33,41,24,26,12.34
2/7/2016,2,7,2016,"Grand Island, NE",Nebraska,26,34,18,20,13.24
2/7/2016,2,7,2016,"Ely, NV",Nevada,11,27,-4,19,10.64
2/7/2016,2,7,2016,"Concord, NH",New Hampshire,34,46,22,21,3.51
2/7/2016,2,7,2016,"Atlantic City, NJ",New Jersey,41,52,30,19,6.18
2/7/2016,2,7,2016,"Albuquerque, NM",New Mexico,33,44,23,32,9.62
2/7/2016,2,7,2016,"Albany, NY",New York,39,49,28,27,6.92
2/7/2016,2,7,2016,"Asheville, NC",North Carolina,44,52,35,27,8.61
2/7/2016,2,7,2016,"Bismarck, ND",North Dakota,31,41,21,25,8.22
2/7/2016,2,7,2016,"Akron, OH",Ohio,39,48,26,23,8.9
2/7/2016,2,7,2016,"Gage, OK",Oklahoma,36,50,21,24,8.02
2/7/2016,2,7,2016,"Astoria, OR",Oregon,46,53,39,14,5.25
2/7/2016,2,7,2016,"Allentown, PA",Pennsylvania,38,48,26,22,3.18
2/7/2016,2,7,2016,"Providence, RI",Rhode Island,40,50,29,23,6.14
2/7/2016,2,7,2016,"Anderson, SC",South Carolina,50,59,40,16,5.22
2/7/2016,2,7,2016,"Aberdeen, SD",South Dakota,28,37,19,23,8.81
2/7/2016,2,7,2016,"Bristol/Jhnsn Cty/Kngsprt, TN",Tennessee,43,52,34,22,2.9
2/7/2016,2,7,2016,"Abilene, TX",Texas,47,60,32,26,7.18
